0 cxi 2 1 shm+cxi:cxi2
0 gpu 4 1
0 cxi 2 1 shm+cxi:cxi2
0 gpu 4 1

# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       2.92              Pass
2                       2.92              Pass
4                       2.93              Pass
8                       2.93              Pass
16                      2.94              Pass
32                      2.95              Pass
64                      2.98              Pass
128                     3.48              Pass
256                     3.56              Pass
512                     3.64              Pass
1024                    3.75              Pass
2048                    3.96              Pass
4096                    4.25              Pass
8192                    4.88              Pass
16384                   5.95              Pass
32768                  11.24              Pass
65536                  12.72              Pass
131072                 15.60              Pass
262144                 21.42              Pass
524288                 32.98              Pass
1048576                56.21              Pass
2097152               102.44              Pass
4194304               195.17              Pass
